City,Latitude,Longitude,Max. Temperature (C),Humidity (%),Cloudiness (%),Wind Speed (m/s),Country,Date (unix-UTC),Date
Vilyuysk,63.7553,63.7553,1.61,83.0,91,3.59,RU,1634963674,2021-10-23 04:34:34
Tessalit,20.1986,20.1986,25.23,23.0,15,2.81,ML,1634963676,2021-10-23 04:34:36
Tiksi,71.6872,71.6872,-15.27,97.0,100,1.03,RU,1634963677,2021-10-23 04:34:37
Avarua,-21.2078,-21.2078,22.03,64.0,20,2.57,CK,1634963679,2021-10-23 04:34:39
Puerto Padre,21.195,21.195,25.56,91.0,98,1.06,CU,1634963680,2021-10-23 04:34:40
Kapaa,22.0752,22.0752,26.99,87.0,40,5.14,US,1634963681,2021-10-23 04:34:41
Pevek,69.7008,69.7008,-10.93,92.0,100,2.79,RU,1634963683,2021-10-23 04:34:43
Atuona,-9.8,-9.8,25.38,80.0,26,7.64,PF,1634963685,2021-10-23 04:34:45
Talnakh,69.4865,69.4865,-2.02,96.0,100,3.41,RU,1634963686,2021-10-23 04:34:46
Okhotsk,59.3833,59.3833,-3.84,72.0,14,5.19,RU,1634963688,2021-10-23 04:34:48
Albany,42.6001,42.6001,6.87,82.0,47,0.89,US,1634963689,2021-10-23 04:34:49
Tauranga,-37.6861,-37.6861,14.97,53.0,100,1.79,NZ,1634963691,2021-10-23 04:34:51
Jamestown,42.097,42.097,7.62,91.0,90,0.45,US,1634963676,2021-10-23 04:34:36
San Patricio,28.017,28.017,26.92,79.0,97,3.86,US,1634963692,2021-10-23 04:34:52
Saint George,37.1041,37.1041,20.19,32.0,1,0.45,US,1634963693,2021-10-23 04:34:53
Qaanaaq,77.484,77.484,-17.92,63.0,0,3.75,GL,1634963397,2021-10-23 04:29:57
Rikitea,-23.1203,-23.1203,23.43,85.0,7,9.02,PF,1634963695,2021-10-23 04:34:55
Tallahassee,30.4383,30.4383,22.02,95.0,90,0.0,US,1634963648,2021-10-23 04:34:08
Portland,45.5234,45.5234,12.23,92.0,90,1.79,US,1634963696,2021-10-23 04:34:56
Punta Arenas,-53.15,-53.15,3.06,81.0,0,13.38,CL,1634963635,2021-10-23 04:33:55
Thompson,55.7435,55.7435,-0.91,86.0,75,2.06,CA,1634963698,2021-10-23 04:34:58
Port Lincoln,-34.7333,-34.7333,15.61,55.0,7,7.85,AU,1634963699,2021-10-23 04:34:59
Chokurdakh,70.6333,70.6333,-24.8,99.0,97,1.32,RU,1634963700,2021-10-23 04:35:00
Dali,25.7,25.7,19.37,58.0,75,0.6,CN,1634963702,2021-10-23 04:35:02
Hong Kong,22.2855,22.2855,23.47,76.0,59,0.89,HK,1634963610,2021-10-23 04:33:30
Otane,-39.8833,-39.8833,15.01,66.0,98,4.1,NZ,1634963702,2021-10-23 04:35:02
Viedma,-40.8135,-40.8135,7.15,89.0,1,5.1,AR,1634963645,2021-10-23 04:34:05
Diego de Almagro,-26.3667,-26.3667,11.0,56.0,92,0.72,CL,1634963664,2021-10-23 04:34:24
Yellowknife,62.456,62.456,5.79,71.0,20,8.75,CA,1634963678,2021-10-23 04:34:38
Busselton,-33.65,-33.65,19.1,52.0,1,3.17,AU,1634963704,2021-10-23 04:35:04
Jalu,29.0331,29.0331,19.4,46.0,5,3.37,LY,1634963704,2021-10-23 04:35:04
Dikson,73.5069,73.5069,-10.61,89.0,95,8.35,RU,1634963706,2021-10-23 04:35:06
Cockburn Town,21.4612,21.4612,28.55,74.0,57,9.29,TC,1634963707,2021-10-23 04:35:07
Ushuaia,-54.8,-54.8,1.81,93.0,90,10.8,AR,1634963708,2021-10-23 04:35:08
Port Alfred,-33.5906,-33.5906,20.09,54.0,48,4.06,ZA,1634963710,2021-10-23 04:35:10
Labuhan,-6.8844,-6.8844,32.33,54.0,70,4.17,ID,1634963711,2021-10-23 04:35:11
Hobart,-42.8794,-42.8794,11.92,91.0,90,3.09,AU,1634963557,2021-10-23 04:32:37
Jizan,17.3333,17.3333,27.52,53.0,18,1.87,SA,1634963712,2021-10-23 04:35:12
Wenling,28.3669,28.3669,19.39,77.0,100,3.41,CN,1634963643,2021-10-23 04:34:03
Stawell,-37.05,-37.05,13.81,75.0,37,6.98,AU,1634963714,2021-10-23 04:35:14
Margate,51.3813,51.3813,9.46,91.0,16,3.13,GB,1634963615,2021-10-23 04:33:35
Bluff,-46.6,-46.6,13.15,73.0,97,5.95,NZ,1634963715,2021-10-23 04:35:15
Tūkrah,32.5341,32.5341,20.63,54.0,32,4.26,LY,1634963715,2021-10-23 04:35:15
Custódia,-8.0875,-8.0875,23.63,75.0,99,3.16,BR,1634963717,2021-10-23 04:35:17
Lebu,-37.6167,-37.6167,10.15,67.0,68,6.58,CL,1634963689,2021-10-23 04:34:49
Homer,59.6425,59.6425,4.89,90.0,90,1.54,US,1634963718,2021-10-23 04:35:18
Kununurra,-15.7667,-15.7667,37.99,34.0,7,4.12,AU,1634963720,2021-10-23 04:35:20
Mataura,-46.1927,-46.1927,19.96,50.0,96,1.49,NZ,1634963721,2021-10-23 04:35:21
Hermanus,-34.4187,-34.4187,13.78,81.0,95,9.75,ZA,1634963721,2021-10-23 04:35:21
Henderson,36.0397,36.0397,24.69,18.0,1,0.0,US,1634963723,2021-10-23 04:35:23
Cape Town,-33.9258,-33.9258,14.93,83.0,75,2.68,ZA,1634963724,2021-10-23 04:35:24
Province of Trapani,37.8333,37.8333,21.3,88.0,0,4.12,IT,1634963726,2021-10-23 04:35:26
Wanaka,-44.7,-44.7,19.5,36.0,95,1.34,NZ,1634963448,2021-10-23 04:30:48
Berlevåg,70.8578,70.8578,0.97,62.0,100,7.4,NO,1634963727,2021-10-23 04:35:27
Vangaindrano,-23.35,-23.35,22.33,76.0,100,1.86,MG,1634963729,2021-10-23 04:35:29
San Quintín,30.4833,30.4833,17.07,87.0,5,5.84,MX,1634963730,2021-10-23 04:35:30
St. George's,12.0564,12.0564,26.82,89.0,40,6.69,GD,1634963695,2021-10-23 04:34:55
Genhe,50.7833,50.7833,7.21,48.0,7,3.45,CN,1634963732,2021-10-23 04:35:32
Tura,25.5198,25.5198,26.1,54.0,0,0.45,IN,1634963732,2021-10-23 04:35:32
Carnarvon,-24.8667,-24.8667,26.04,53.0,0,9.26,AU,1634963531,2021-10-23 04:32:11
São Filipe,14.8961,14.8961,26.22,69.0,0,2.21,CV,1634963733,2021-10-23 04:35:33
Hilo,19.7297,19.7297,22.85,95.0,90,2.06,US,1634963734,2021-10-23 04:35:34
Chui,-33.6971,-33.6971,13.6,74.0,100,0.42,UY,1634963736,2021-10-23 04:35:36
Dunedin,-45.8742,-45.8742,12.67,74.0,96,6.26,NZ,1634963481,2021-10-23 04:31:21
Arraial do Cabo,-22.9661,-22.9661,20.09,83.0,1,6.04,BR,1634963694,2021-10-23 04:34:54
Klyuchi,52.2667,52.2667,5.22,56.0,96,10.13,RU,1634963739,2021-10-23 04:35:39
Cidreira,-30.1811,-30.1811,18.0,91.0,0,5.51,BR,1634963740,2021-10-23 04:35:40
Kashirskoye,51.4194,51.4194,8.12,60.0,57,3.53,RU,1634963742,2021-10-23 04:35:42
Liverpool,53.4106,53.4106,10.46,85.0,90,1.34,GB,1634963743,2021-10-23 04:35:43
Madang,-5.2246,-5.2246,29.5,65.0,100,3.78,PG,1634963704,2021-10-23 04:35:04
Bontang,0.1333,0.1333,30.89,62.0,100,2.2,ID,1634963685,2021-10-23 04:34:45
Padang,-0.9492,-0.9492,30.03,72.0,66,2.36,ID,1634963746,2021-10-23 04:35:46
Taoudenni,22.6783,22.6783,23.7,30.0,0,2.73,ML,1634963746,2021-10-23 04:35:46
Nantucket,41.2835,41.2835,17.06,86.0,1,3.09,US,1634963748,2021-10-23 04:35:48
La Ronge,55.1001,55.1001,1.14,75.0,20,7.72,CA,1634963749,2021-10-23 04:35:49
Puerto Ayora,-0.7393,-0.7393,21.02,85.0,37,3.24,EC,1634963750,2021-10-23 04:35:50
San Estanislao,10.3983,10.3983,28.05,92.0,29,1.49,CO,1634963751,2021-10-23 04:35:51
Port Elizabeth,-33.918,-33.918,18.16,55.0,0,3.6,ZA,1634963620,2021-10-23 04:33:40
Virginia Beach,36.8529,36.8529,18.01,90.0,75,3.09,US,1634963691,2021-10-23 04:34:51
Lüderitz,-26.6481,-26.6481,13.21,79.0,6,3.54,NA,1634963753,2021-10-23 04:35:53
Al Bardīyah,31.7561,31.7561,18.65,70.0,0,0.74,LY,1634963755,2021-10-23 04:35:55
Norman Wells,65.282,65.282,5.02,70.0,20,4.12,CA,1634963756,2021-10-23 04:35:56
Kahramanmaraş Province,38.0,38.0,2.35,34.0,0,1.01,TR,1634963758,2021-10-23 04:35:58
Nikolskoye,59.7035,59.7035,5.49,88.0,99,4.36,RU,1634963759,2021-10-23 04:35:59
Hasaki,35.7333,35.7333,17.22,49.0,18,7.87,JP,1634963760,2021-10-23 04:36:00
New Norfolk,-42.7826,-42.7826,11.62,80.0,100,0.8,AU,1634963761,2021-10-23 04:36:01
Te Anau,-45.4167,-45.4167,17.6,51.0,99,0.67,NZ,1634963761,2021-10-23 04:36:01
Acapulco de Juárez,16.8634,16.8634,24.65,89.0,100,4.72,MX,1634963762,2021-10-23 04:36:02
Mahébourg,-20.4081,-20.4081,24.58,88.0,75,6.69,MU,1634963763,2021-10-23 04:36:03
Sola,-13.8833,-13.8833,27.45,75.0,89,6.07,VU,1634963764,2021-10-23 04:36:04
Mogadishu,2.0371,2.0371,27.07,78.0,32,4.77,SO,1634963635,2021-10-23 04:33:55
Guerrero Negro,27.9769,27.9769,19.02,81.0,0,6.17,MX,1634963765,2021-10-23 04:36:05
Bredasdorp,-34.5322,-34.5322,13.49,82.0,100,5.66,ZA,1634963683,2021-10-23 04:34:43
Corinth,37.9407,37.9407,18.58,82.0,8,2.16,GR,1634963571,2021-10-23 04:32:51
Dolores,-36.3132,-36.3132,12.71,98.0,100,1.1,AR,1634963595,2021-10-23 04:33:15
Kropotkin,45.4375,45.4375,11.36,58.0,0,2.72,RU,1634963615,2021-10-23 04:33:35
Zhigansk,66.7697,66.7697,-7.17,95.0,88,2.25,RU,1634963768,2021-10-23 04:36:08
East London,-33.0153,-33.0153,15.52,82.0,0,3.6,ZA,1634963609,2021-10-23 04:33:29
Saldanha,-33.0117,-33.0117,14.03,76.0,72,7.91,ZA,1634963660,2021-10-23 04:34:20
Maceió,-9.6658,-9.6658,25.69,94.0,20,1.54,BR,1634963770,2021-10-23 04:36:10
General Roca,-39.0333,-39.0333,14.22,35.0,0,7.97,AR,1634963771,2021-10-23 04:36:11
Talara,-4.5772,-4.5772,19.75,83.0,95,6.38,PE,1634963773,2021-10-23 04:36:13
Luganville,-15.5333,-15.5333,28.28,74.0,50,2.85,VU,1634963774,2021-10-23 04:36:14
Suşehri,40.1644,40.1644,11.21,43.0,0,0.25,TR,1634963775,2021-10-23 04:36:15
Léo,11.1,11.1,23.16,82.0,75,2.25,BF,1634963776,2021-10-23 04:36:16
Nelson Bay,-32.7167,-32.7167,32.64,76.0,7,6.48,AU,1634963778,2021-10-23 04:36:18
Cabo San Lucas,22.8909,22.8909,25.84,81.0,0,1.34,MX,1634963780,2021-10-23 04:36:20
Presidencia Roque Sáenz Peña,-26.7852,-26.7852,25.07,45.0,54,4.04,AR,1634963674,2021-10-23 04:34:34
Barrow,71.2906,71.2906,-0.99,80.0,90,4.63,US,1634963781,2021-10-23 04:36:21
Heiligenhafen,54.3667,54.3667,8.27,85.0,14,10.66,DE,1634963783,2021-10-23 04:36:23
Tasiilaq,65.6145,65.6145,-0.91,93.0,100,4.48,GL,1634963784,2021-10-23 04:36:24
Riyadh,24.6877,24.6877,21.08,27.0,4,2.73,SA,1634963555,2021-10-23 04:32:35
Marabu,4.4148,4.4148,29.08,74.0,40,2.57,MY,1634963786,2021-10-23 04:36:26
Tilichiki,60.4667,60.4667,-14.18,85.0,21,2.76,RU,1634963786,2021-10-23 04:36:26
Castro,-24.7911,-24.7911,11.7,78.0,0,1.84,BR,1634963788,2021-10-23 04:36:28
Kiryat Gat,31.61,31.61,20.22,62.0,0,0.81,IL,1634963593,2021-10-23 04:33:13
Changji,44.0167,44.0167,3.44,93.0,90,3.0,CN,1634963646,2021-10-23 04:34:06
Torbay,47.6666,47.6666,11.53,92.0,90,4.12,CA,1634963790,2021-10-23 04:36:30
Lavrentiya,65.5833,65.5833,-3.68,84.0,100,4.74,RU,1634963792,2021-10-23 04:36:32
Tiznit Province,29.5833,29.5833,14.72,76.0,0,0.62,MA,1634963793,2021-10-23 04:36:33
Bethel,41.3712,41.3712,14.76,71.0,20,3.09,US,1634963795,2021-10-23 04:36:35
Khovd,48.0056,48.0056,7.14,30.0,100,0.82,MN,1634963704,2021-10-23 04:35:04
Asău,46.4333,46.4333,13.55,77.0,100,1.6,RO,1634963796,2021-10-23 04:36:36
Baculin,7.4525,7.4525,29.54,72.0,98,5.81,PH,1634963798,2021-10-23 04:36:38
Faya,18.3851,18.3851,13.29,27.0,77,3.57,SA,1634963798,2021-10-23 04:36:38
Half Moon Bay,37.4636,37.4636,14.88,87.0,90,0.0,US,1634963799,2021-10-23 04:36:39
Saint-Philippe,-21.3585,-21.3585,28.6,79.0,40,4.62,RE,1634963800,2021-10-23 04:36:40
Kavieng,-2.5744,-2.5744,29.61,68.0,18,5.66,PG,1634963802,2021-10-23 04:36:42
Olinda,-8.0089,-8.0089,26.85,74.0,40,3.09,BR,1634963662,2021-10-23 04:34:22
Visby,57.6409,57.6409,7.7,87.0,75,8.23,SE,1634963804,2021-10-23 04:36:44
Severo-Kuril'sk,50.6789,50.6789,4.4,85.0,67,4.67,RU,1634963805,2021-10-23 04:36:45
Alihe,50.5667,50.5667,10.27,47.0,9,3.47,CN,1634963807,2021-10-23 04:36:47
Avera,33.194,33.194,16.51,76.0,30,3.17,US,1634963808,2021-10-23 04:36:48
George Town,5.4112,5.4112,31.96,70.0,20,1.34,MY,1634963809,2021-10-23 04:36:49
Srednekolymsk,67.45,67.45,-20.55,95.0,64,0.25,RU,1634963809,2021-10-23 04:36:49
Esperance,-33.8667,-33.8667,19.91,49.0,9,6.45,AU,1634963810,2021-10-23 04:36:50
Hailar,49.2,49.2,8.85,36.0,0,5.33,CN,1634963811,2021-10-23 04:36:51
Abu Samrah,35.3029,35.3029,18.64,41.0,0,0.83,SY,1634963811,2021-10-23 04:36:51
Mar del Plata,-38.0023,-38.0023,13.33,91.0,90,1.34,AR,1634963607,2021-10-23 04:33:27
Vaini,-21.2,-21.2,25.09,78.0,40,5.14,TO,1634963813,2021-10-23 04:36:53
Kaitangata,-46.2817,-46.2817,14.63,65.0,95,3.54,NZ,1634963815,2021-10-23 04:36:55
Saint-Pierre,-21.3393,-21.3393,28.65,74.0,0,2.57,RE,1634963815,2021-10-23 04:36:55
Mamlyutka,54.9375,54.9375,7.01,70.0,99,8.59,KZ,1634963817,2021-10-23 04:36:57
Zhaotong,27.3167,27.3167,8.74,80.0,100,1.16,CN,1634963643,2021-10-23 04:34:03
Saint Paul Harbor,57.79,57.79,5.22,85.0,100,6.34,US,1634963819,2021-10-23 04:36:59
Tumarbong,10.3766,10.3766,29.8,69.0,35,4.42,PH,1634963820,2021-10-23 04:37:00
Beloha,-25.1667,-25.1667,22.12,67.0,98,4.12,MG,1634963780,2021-10-23 04:36:20
Ancud,-41.8697,-41.8697,8.01,87.0,98,4.16,CL,1634963668,2021-10-23 04:34:28
Klaksvík,62.2266,62.2266,8.51,94.0,100,13.19,FO,1634963821,2021-10-23 04:37:01
Ribeira Grande,38.5167,38.5167,20.1,74.0,42,6.55,PT,1634963700,2021-10-23 04:35:00
Geraldton,-28.7667,-28.7667,26.23,38.0,0,7.72,AU,1634963708,2021-10-23 04:35:08
Isiro,2.7739,2.7739,20.04,92.0,93,0.6,CD,1634963823,2021-10-23 04:37:03
Rong Kwang,18.339,18.339,27.71,89.0,98,0.51,TH,1634963825,2021-10-23 04:37:05
Kruisfontein,-34.0033,-34.0033,16.05,60.0,100,3.06,ZA,1634963826,2021-10-23 04:37:06
Nyurba,63.2842,63.2842,2.94,81.0,72,2.52,RU,1634963827,2021-10-23 04:37:07
Codrington,-38.2667,-38.2667,13.62,68.0,54,5.86,AU,1634963829,2021-10-23 04:37:09
Biak,-0.9131,-0.9131,29.6,61.0,87,2.19,ID,1634963830,2021-10-23 04:37:10
San Policarpo,12.1791,12.1791,26.51,87.0,100,2.92,PH,1634963830,2021-10-23 04:37:10
Varhaug,58.6147,58.6147,6.75,61.0,98,7.2,NO,1634963830,2021-10-23 04:37:10
Vila Franca do Campo,37.7167,37.7167,19.23,85.0,79,2.77,PT,1634963832,2021-10-23 04:37:12
Malé,4.1748,4.1748,29.97,74.0,75,6.69,MV,1634963637,2021-10-23 04:33:57
Distrikt Brokopondo,4.75,4.75,24.56,91.0,92,3.18,SR,1634963704,2021-10-23 04:35:04
Harper,4.375,4.375,25.07,87.0,74,3.26,LR,1634963833,2021-10-23 04:37:13
Tuatapere,-46.1333,-46.1333,16.83,60.0,97,2.21,NZ,1634963835,2021-10-23 04:37:15
Champotón,19.35,19.35,24.29,90.0,100,2.55,MX,1634963836,2021-10-23 04:37:16
Suriāpet,17.15,17.15,27.75,53.0,18,2.34,IN,1634963729,2021-10-23 04:35:29
Kiryat Gat,31.61,31.61,20.22,62.0,0,0.81,IL,1634963837,2021-10-23 04:37:17
Shache,38.4167,38.4167,13.49,12.0,100,6.45,CN,1634963715,2021-10-23 04:35:15
Clyde River,70.4692,70.4692,-5.85,85.0,99,2.57,CA,1634963839,2021-10-23 04:37:19
Carupano,10.6678,10.6678,24.17,90.0,84,2.54,VE,1634963840,2021-10-23 04:37:20
Marystown,47.1666,47.1666,13.25,100.0,99,3.58,CA,1634963841,2021-10-23 04:37:21
Khatanga,71.9667,71.9667,-12.7,88.0,99,6.59,RU,1634963842,2021-10-23 04:37:22
Junction City,39.0286,39.0286,16.03,71.0,1,1.34,US,1634963803,2021-10-23 04:36:43
Pisz,53.6274,53.6274,6.14,77.0,83,6.5,PL,1634963639,2021-10-23 04:33:59
Catuday,16.2923,16.2923,28.54,70.0,44,2.9,PH,1634963844,2021-10-23 04:37:24
Umeå,63.8284,63.8284,-2.04,86.0,0,5.14,SE,1634963845,2021-10-23 04:37:25
Grindavik,63.8424,63.8424,7.26,100.0,90,3.6,IS,1634963846,2021-10-23 04:37:26
Formosa,-26.1775,-26.1775,22.5,64.0,23,3.23,AR,1634963629,2021-10-23 04:33:49
Arlit,18.7369,18.7369,28.05,17.0,14,4.58,NE,1634963848,2021-10-23 04:37:28
Waipawa,-41.4122,-41.4122,14.61,67.0,99,5.4,NZ,1634963849,2021-10-23 04:37:29
Lumberton,34.6182,34.6182,19.0,62.0,74,1.87,US,1634963676,2021-10-23 04:34:36
Gualdo Tadino,43.2317,43.2317,12.51,92.0,98,0.47,IT,1634963772,2021-10-23 04:36:12
Butaritari,3.0707,3.0707,28.11,74.0,90,7.66,KI,1634963850,2021-10-23 04:37:30
Nortelândia,-14.4547,-14.4547,23.32,94.0,70,2.14,BR,1634963852,2021-10-23 04:37:32
Sept-Îles,50.2001,50.2001,9.29,97.0,90,0.89,CA,1634963685,2021-10-23 04:34:45
Xingtai,37.0631,37.0631,16.52,41.0,36,3.15,CN,1634963854,2021-10-23 04:37:34
Katangli,51.7102,51.7102,4.44,81.0,91,7.54,RU,1634963854,2021-10-23 04:37:34
Garoowe,8.4054,8.4054,24.71,67.0,14,2.5,SO,1634963855,2021-10-23 04:37:35
São João da Barra,-21.6403,-21.6403,20.45,83.0,11,2.32,BR,1634963712,2021-10-23 04:35:12
Nizwá,22.9333,22.9333,27.55,35.0,1,0.8,OM,1634963594,2021-10-23 04:33:14
Pilar,-9.5972,-9.5972,24.96,95.0,7,1.9,BR,1634963857,2021-10-23 04:37:37
Hearst,49.6835,49.6835,3.14,97.0,100,2.89,CA,1634963859,2021-10-23 04:37:39
Buraidah,26.326,26.326,20.25,26.0,0,2.28,SA,1634963860,2021-10-23 04:37:40
Adrar,20.5022,20.5022,20.98,23.0,46,3.39,MR,1634963861,2021-10-23 04:37:41
Puerto Escondido,15.85,15.85,24.75,88.0,100,2.25,MX,1634963668,2021-10-23 04:34:28
Lamu,-2.2717,-2.2717,23.12,71.0,66,3.75,KE,1634963702,2021-10-23 04:35:02
Cap Malheureux,-19.9842,-19.9842,24.7,77.0,57,4.47,MU,1634963863,2021-10-23 04:37:43
Ilulissat,69.2167,69.2167,-6.99,58.0,99,8.23,GL,1634963865,2021-10-23 04:37:45
Rezina,47.7492,47.7492,11.58,59.0,100,1.29,MD,1634963867,2021-10-23 04:37:47
Kavaratti,10.5669,10.5669,27.9,74.0,60,1.96,IN,1634963868,2021-10-23 04:37:48
Atbasar,51.8,51.8,6.82,68.0,79,9.77,KZ,1634963869,2021-10-23 04:37:49
Airai,-8.9266,-8.9266,25.78,48.0,53,0.96,TL,1634963869,2021-10-23 04:37:49
Cherskiy,68.75,68.75,-20.81,100.0,99,1.49,RU,1634963869,2021-10-23 04:37:49
Kaduqli,11.0167,11.0167,26.39,60.0,97,1.03,SD,1634963871,2021-10-23 04:37:51
Pedasí,7.5333,7.5333,25.04,85.0,36,2.64,PA,1634963873,2021-10-23 04:37:53
Bandarbeyla,9.4942,9.4942,26.64,69.0,61,2.59,SO,1634963874,2021-10-23 04:37:54
Severomuysk,56.1481,56.1481,-0.16,66.0,63,1.2,RU,1634963875,2021-10-23 04:37:55
Nānākuli,21.3906,21.3906,27.97,59.0,20,4.12,US,1634963877,2021-10-23 04:37:57
Kahului,20.8947,20.8947,26.01,77.0,40,8.75,US,1634963662,2021-10-23 04:34:22
Bengkulu,-3.8004,-3.8004,28.82,69.0,98,2.77,ID,1634963879,2021-10-23 04:37:59
Sarankhola,22.3082,22.3082,29.69,57.0,8,1.66,BD,1634963879,2021-10-23 04:37:59
Bubaque,11.2833,11.2833,28.19,74.0,52,4.91,GW,1634963879,2021-10-23 04:37:59
Patiya,22.2931,22.2931,28.97,79.0,75,0.0,BD,1634963708,2021-10-23 04:35:08
Leshukonskoye,64.8989,64.8989,-3.78,93.0,97,2.99,RU,1634963881,2021-10-23 04:38:01
Bereda,43.2686,43.2686,6.99,100.0,11,0.43,ES,1634963883,2021-10-23 04:38:03
Álamos,27.0167,27.0167,23.73,44.0,0,1.43,MX,1634963884,2021-10-23 04:38:04
Erzin,36.9559,36.9559,12.29,36.0,0,0.9,TR,1634963799,2021-10-23 04:36:39
Nuuk,64.1835,64.1835,-2.66,54.0,0,12.86,GL,1634963885,2021-10-23 04:38:05
Alta Floresta,-9.8756,-9.8756,21.86,96.0,100,1.49,BR,1634963887,2021-10-23 04:38:07
Machiques,10.0644,10.0644,24.17,79.0,5,2.16,VE,1634963662,2021-10-23 04:34:22
Kushiro,42.975,42.975,10.53,71.0,40,1.54,JP,1634963778,2021-10-23 04:36:18
Tuktoyaktuk,69.4541,69.4541,1.0,100.0,90,5.66,CA,1634963889,2021-10-23 04:38:09
Moshenskoye,58.5102,58.5102,4.3,94.0,100,3.75,RU,1634963891,2021-10-23 04:38:11
Lufkin,31.3382,31.3382,21.55,85.0,1,2.06,US,1634963893,2021-10-23 04:38:13
Fram,-26.9833,-26.9833,18.54,71.0,9,2.34,PY,1634963894,2021-10-23 04:38:14
Bambous Virieux,-20.3428,-20.3428,24.56,88.0,75,6.69,MU,1634963895,2021-10-23 04:38:15
Port Macquarie,-31.4333,-31.4333,28.98,71.0,24,4.28,AU,1634963676,2021-10-23 04:34:36
Ust'-Kut,56.7938,56.7938,7.76,50.0,100,3.26,RU,1634963897,2021-10-23 04:38:17
Burnie,-41.0667,-41.0667,13.3,69.0,75,5.98,AU,1634963672,2021-10-23 04:34:32
Dauphin,51.1494,51.1494,3.08,87.0,90,2.57,CA,1634963899,2021-10-23 04:38:19
Ballina,-28.8667,-28.8667,32.1,70.0,0,6.69,AU,1634963900,2021-10-23 04:38:20
Provideniya,64.3833,64.3833,-3.54,75.0,100,3.68,RU,1634963901,2021-10-23 04:38:21
Ostrovnoy,68.0531,68.0531,1.03,66.0,100,9.24,RU,1634963902,2021-10-23 04:38:22
Kiruna,67.8557,67.8557,-7.49,93.0,90,1.54,SE,1634963904,2021-10-23 04:38:24
Amuntai,-2.4177,-2.4177,33.86,50.0,91,1.04,ID,1634963905,2021-10-23 04:38:25
